timestamp,fire_count,fire_frp_sum,fire_brightness_sum
2025-01-01 13:00:00,7,40.38,2341.4300000000003
2025-01-02 01:00:00,4,3.61,1212.8
2025-01-02 12:00:00,4,11.690000000000001,1309.48
2025-01-03 14:00:00,2,4.61,660.28
2025-01-04 01:00:00,2,5.99,607.1500000000001
2025-01-04 02:00:00,6,9.450000000000001,1825.09
2025-01-04 13:00:00,22,187.8,7366.3
2025-01-05 02:00:00,5,4.25,1498.12
2025-01-05 13:00:00,68,256.85,22477.87
2025-01-06 02:00:00,11,16.11,3387.69
2025-01-06 13:00:00,26,79.6,8594.53
2025-01-07 01:00:00,1,1.18,301.89
2025-01-07 13:00:00,12,62.19,3991.87
2025-01-08 01:00:00,7,5.96,2129.63
2025-01-08 03:00:00,2,1.99,597.56
2025-01-08 12:00:00,28,90.32000000000001,9351.45
2025-01-08 14:00:00,19,113.61,6371.54
2025-01-09 01:00:00,7,14.67,2138.48
2025-01-09 02:00:00,15,19.8,4606.47
2025-01-09 12:00:00,2,21.17,681.52
2025-01-09 14:00:00,37,178.97,12384.7
2025-01-10 02:00:00,9,8.66,2706.89
2025-01-10 13:00:00,31,144.55,10329.31
2025-01-11 02:00:00,13,24.89,4066.79
2025-01-11 13:00:00,20,55.83,6591.99
2025-01-12 01:00:00,1,0.77,301.18
2025-01-12 13:00:00,1,5.3,346.11
2025-01-13 01:00:00,9,6.73,2700.76
2025-01-13 03:00:00,4,4.01,1194.01
2025-01-13 12:00:00,10,34.52,3303.49
2025-01-13 14:00:00,5,21.73,1681.52
2025-01-14 01:00:00,1,1.23,306.81
2025-01-14 02:00:00,6,4.76,1791.28
2025-01-14 14:00:00,20,90.6,6741.1
2025-01-15 02:00:00,21,21.91,6311.26
2025-01-15 13:00:00,36,165.73,11981.59
2025-01-16 02:00:00,8,11.76,2432.91
2025-01-16 13:00:00,16,70.23,5302.8099999999995
2025-01-17 01:00:00,9,6.3,2715.29
2025-01-17 13:00:00,16,58.69,5286.55
2025-01-18 01:00:00,7,72.88000000000001,2228.9
2025-01-18 03:00:00,1,3.06,302.36
2025-01-18 12:00:00,1,4.19,335.14
2025-01-19 01:00:00,3,3.08,919.9300000000001
2025-01-19 02:00:00,2,0.77,596.97
2025-01-19 03:00:00,8,21.59,2532.86
2025-01-19 12:00:00,11,32.52,3643.33
2025-01-19 14:00:00,22,82.38,7362.18
2025-01-20 02:00:00,3,3.5300000000000002,893.65
2025-01-20 13:00:00,62,267.3,20655.57
2025-01-21 02:00:00,9,7.01,2691.26
2025-01-21 13:00:00,93,420.63,30913.54
2025-01-22 02:00:00,27,25.07,8128.12
