latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
28.15211,77.47847,334.83,0.45,0.39,2025-01-01,0743,SNPP,SNPP,n,2,290.49,10.21,D,0
30.93526,78.38821,335.35,0.4,0.37,2025-01-01,0744,SNPP,SNPP,n,2,296.88,7.18,D,0
30.86657,77.89341,334.5,0.41,0.37,2025-01-01,0744,SNPP,SNPP,n,2,292.06,2.67,D,0
30.74813,77.75218,331.91,0.41,0.37,2025-01-01,0744,SNPP,SNPP,n,2,295.37,3.42,D,0
30.96798,78.20061,329.89,0.4,0.37,2025-01-01,0744,SNPP,SNPP,n,2,289.12,2.35,D,0
30.91957,77.95876,333.48,0.41,0.37,2025-01-01,0744,SNPP,SNPP,n,2,294.72,4.55,D,0
30.92029,77.95954,341.47,0.41,0.37,2025-01-01,0744,SNPP,SNPP,n,2,297.01,10,D,0
31.1341,78.05277,300.84,0.43,0.46,2025-01-01,2007,SNPP,SNPP,n,2,276.05,0.81,N,0
31.58731,77.34241,297.92,0.48,0.48,2025-01-01,2007,SNPP,SNPP,n,2,275.78,1.23,N,0
31.31248,77.26003,312.13,0.48,0.48,2025-01-01,2007,SNPP,SNPP,n,2,278.97,0.88,N,0
31.10912,77.8149,301.91,0.44,0.46,2025-01-01,2007,SNPP,SNPP,n,2,277.41,0.69,N,0
31.80597,77.26009,325.04,0.46,0.47,2025-01-02,0725,SNPP,SNPP,n,2,289.2,2.2,D,0
31.50606,77.46171,326.9,0.45,0.47,2025-01-02,0725,SNPP,SNPP,n,2,284.64,1.92,D,0
30.81585,78.0242,327.17,0.44,0.46,2025-01-02,0725,SNPP,SNPP,n,2,296.13,3.17,D,0
32.07113,77.10483,330.37,0.46,0.47,2025-01-02,0725,SNPP,SNPP,n,2,283.11,4.4,D,0
30.56347,75.74955,325.79,0.42,0.61,2025-01-03,0847,SNPP,SNPP,n,2,289.1,1.72,D,0
30.47235,75.95839,334.49,0.44,0.62,2025-01-03,0847,SNPP,SNPP,n,2,288.9,2.89,D,0
30.92937,78.2892,306.18,0.75,0.77,2025-01-03,1930,SNPP,SNPP,n,2,276.65,2.55,N,0
30.93118,78.28729,300.97,0.75,0.77,2025-01-03,1930,SNPP,SNPP,n,2,276.4,3.44,N,0
31.28591,77.21961,301.58,0.54,0.5,2025-01-03,2110,SNPP,SNPP,n,2,274.05,2.14,N,0
31.22539,77.75078,307.4,0.58,0.52,2025-01-03,2110,SNPP,SNPP,n,2,272.88,2.6,N,0
31.28961,77.22475,308.61,0.54,0.51,2025-01-03,2110,SNPP,SNPP,n,2,276.1,2.2,N,0
27.66979,76.13068,297.12,0.55,0.51,2025-01-03,2111,SNPP,SNPP,n,2,286.04,1.4,N,2
27.37398,77.69473,310.54,0.35,0.56,2025-01-03,2111,SNPP,SNPP,n,2,282.45,0.52,N,0
27.08226,73.81709,299.84,0.42,0.45,2025-01-03,2111,SNPP,SNPP,n,2,289.69,0.59,N,2
28.63795,76.44232,329.62,0.46,0.47,2025-01-04,0827,SNPP,SNPP,n,2,293.47,3.08,D,0
27.92076,75.29079,353.12,0.39,0.44,2025-01-04,0827,SNPP,SNPP,n,2,304.72,6.29,D,0
28.83661,76.43092,331.05,0.46,0.47,2025-01-04,0827,SNPP,SNPP,n,2,293.07,3.82,D,0
28.96286,76.31999,332.08,0.46,0.47,2025-01-04,0827,SNPP,SNPP,n,2,292.78,3.78,D,0
28.98655,76.3326,327.44,0.46,0.47,2025-01-04,0827,SNPP,SNPP,n,2,292.7,2.64,D,0
29.93786,77.83131,327.06,0.58,0.52,2025-01-04,0827,SNPP,SNPP,n,2,291.46,2,D,0
31.01025,77.81294,330.57,0.59,0.53,2025-01-04,0828,SNPP,SNPP,n,2,292.46,11.05,D,0
30.25992,74.06078,333.69,0.54,0.42,2025-01-04,0828,SNPP,SNPP,n,2,296.44,8.93,D,0
30.92653,78.37218,326.14,0.32,0.55,2025-01-04,0828,SNPP,SNPP,n,2,288.31,3.23,D,0
30.81218,76.6646,330.74,0.5,0.49,2025-01-04,0828,SNPP,SNPP,n,2,291.79,2.85,D,0
30.81246,76.66209,331.16,0.5,0.49,2025-01-04,0828,SNPP,SNPP,n,2,291.7,2.4,D,0
31.00477,77.80666,340.97,0.59,0.53,2025-01-04,0828,SNPP,SNPP,n,2,298.12,11.05,D,0
31.00938,77.8031,339.34,0.59,0.53,2025-01-04,0828,SNPP,SNPP,n,2,291.89,11.05,D,0
31.0041,77.57781,339.89,0.57,0.52,2025-01-04,0828,SNPP,SNPP,n,2,299.94,14.48,D,0
31.00355,77.57174,327.42,0.57,0.52,2025-01-04,0828,SNPP,SNPP,n,2,293.01,14.48,D,0
31.00884,77.57643,348.29,0.57,0.52,2025-01-04,0828,SNPP,SNPP,n,2,299.8,14.48,D,0
31.00699,77.81059,344.16,0.59,0.53,2025-01-04,0828,SNPP,SNPP,n,2,297.48,24.3,D,0
31.00724,77.57473,354.36,0.57,0.52,2025-01-04,0828,SNPP,SNPP,n,2,304.72,39.03,D,0
31.50141,73.60857,326.12,0.52,0.42,2025-01-04,0828,SNPP,SNPP,n,2,291.34,1.59,D,0
31.9232,75.56541,337.67,0.45,0.47,2025-01-04,0828,SNPP,SNPP,n,2,293.42,2.91,D,0
32.786,74.13509,329.13,0.38,0.44,2025-01-04,0828,SNPP,SNPP,n,2,293,2.38,D,0
32.8683,74.21253,326.28,0.39,0.44,2025-01-04,0828,SNPP,SNPP,n,2,291.8,1.98,D,0
32.05788,74.268,298.5,0.39,0.36,2025-01-04,2051,SNPP,SNPP,n,2,281.55,0.56,N,0
